order_id,order_date,product_id,product_name,item_type,quantity,unit_price,bill_value,city,state,sales_channel,customer_age,discount_pct,payment_mode,return_flag,brand_name,category,total_amount
3001,2025-01-02,a101,Kurti,Casual,2.0,1300.0,2600.0,Ahmedabad,Gujarat,Online,26,,UPI,No,SheStyle,Unknown,2600.0
3002,2025-01-02,a102,Saree,Ethnic,1.0,5200.0,5200.0,Surat,Gujarat,Offline,34,,Cash,No,SheStyle,Unknown,5200.0
3003,2025-02-02,a103,Lehenga,Ethnic,1.0,9200.0,9200.0,Jaipur,Rajasthan,Online,29,,Card,No,SheStyle,Unknown,9200.0
3004,2025-02-02,a104,Top,Western,3.0,950.0,2850.0,Udaipur,Rajasthan,Offline,22,,UPI,Yes,SheStyle,Unknown,2850.0
3005,2025-03-02,a105,Jeans,Western,2.0,1900.0,3800.0,Rajkot,Gujarat,Online,27,,Card,No,SheStyle,Unknown,3800.0
3006,2025-03-02,a106,Leggings,Casual,4.0,650.0,2600.0,Vadodara,Gujarat,Offline,31,,Cash,No,SheStyle,Unknown,2600.0
3007,2025-04-02,a107,Anarkali Suit,Ethnic,1.0,6800.0,6800.0,Jaipur,Rajasthan,Offline,38,,Unknown,No,SheStyle,Unknown,6800.0
3008,2025-04-02,a108,Skirt,Western,2.0,1600.0,3200.0,Unknown,Rajasthan,Online,24,,Card,Yes,SheStyle,Unknown,3200.0
3009,2025-05-02,a101,Kurti,Casual,1.0,1300.0,1300.0,Unknown,Gujarat,Online,21,,UPI,No,SheStyle,Unknown,1300.0
3010,2025-05-02,a102,Saree,Ethnic,1.0,5200.0,5200.0,Unknown,Gujarat,Offline,45,,Cash,No,SheStyle,Unknown,5200.0
3011,2025-06-02,a104,Top,Western,2.0,950.0,1900.0,Unknown,Rajasthan,Online,23,,UPI,No,SheStyle,Unknown,1900.0
3012,2025-06-02,a105,Jeans,Western,1.0,1900.0,1900.0,Unknown,Gujarat,Offline,28,,Card,No,SheStyle,Unknown,1900.0
3013,2025-07-02,a103,Lehenga,Ethnic,1.0,9200.0,9200.0,Unknown,Rajasthan,Offline,33,,Cash,No,SheStyle,Unknown,9200.0
3015,2025-08-02,a107,Anarkali Suit,Ethnic,1.0,6800.0,6800.0,Surat,Gujarat,Offline,36,,Card,No,SheStyle,Unknown,6800.0
3016,2025-08-02,a108,Skirt,Western,2.0,1600.0,3200.0,Jaipur,Unknown,Online,20,,UPI,Yes,SheStyle,Unknown,3200.0
3017,2025-09-02,a101,Kurti,Casual,3.0,1300.0,3900.0,Jodhpur,Unknown,Offline,30,,Cash,No,SheStyle,Unknown,3900.0
3019,2025-10-02,a104,Top,Western,2.0,950.0,1900.0,Rajkot,Unknown,Online,25,,UPI,No,SheStyle,Unknown,1900.0
3020,2025-10-02,a105,Jeans,Western,1.0,1900.0,1900.0,Ahmedabad,Gujarat,Offline,29,,Cash,No,SheStyle,Unknown,1900.0
3022,2025-01-03,a102,Saree,Ethnic,1.0,5200.0,5200.0,Surat,Gujarat,Offline,34,,Cash,No,SheStyle,Unknown,5200.0
3023,2025-02-03,a103,Lehenga,Ethnic,1.0,9200.0,9200.0,Jaipur,Rajasthan,Online,29,,Card,No,SheStyle,Unknown,9200.0
3024,2025-02-03,a104,Top,Western,3.0,950.0,2850.0,Udaipur,Unknown,Offline,22,,UPI,Yes,SheStyle,Unknown,2850.0
3025,2025-03-04,a105,Jeans,Western,2.0,1900.0,3800.0,Rajkot,Gujarat,Online,27,,Card,No,SheStyle,Unknown,3800.0
3026,2025-03-04,a106,Leggings,Casual,4.0,650.0,2600.0,Vadodara,Gujarat,Offline,31,,Cash,No,SheStyle,Unknown,2600.0
3027,2025-04-04,a107,Anarkali Suit,Ethnic,1.0,6800.0,6800.0,Jaipur,Rajasthan,Offline,38,,UPI,No,SheStyle,Unknown,6800.0
3028,2025-04-04,a108,Skirt,Western,2.0,1600.0,3200.0,Ajmer,Rajasthan,Online,24,,Card,Yes,SheStyle,Unknown,3200.0
3029,2025-05-04,a101,Kurti,Casual,1.0,1300.0,1300.0,Surat,Gujarat,Online,21,,Unknown,No,SheStyle,Unknown,1300.0
3030,2025-05-04,a102,Saree,Ethnic,1.0,5200.0,5200.0,Ahmedabad,Unknown,Offline,45,,Cash,No,SheStyle,Unknown,5200.0
3031,2025-06-04,a104,Top,Western,2.0,950.0,1900.0,Kota,Rajasthan,Online,23,,UPI,No,SheStyle,Unknown,1900.0
3032,2025-06-04,a105,Jeans,Western,1.0,1900.0,1900.0,Vadodara,Gujarat,Offline,28,,Card,No,SheStyle,Unknown,1900.0
3033,2025-07-04,a103,Lehenga,Ethnic,1.0,9200.0,9200.0,Udaipur,Rajasthan,Offline,33,,Cash,No,SheStyle,Unknown,9200.0
3034,2025-07-04,a106,Leggings,Casual,1.0,650.0,,Ahmedabad,Gujarat,Online,26,,UPI,No,SheStyle,Unknown,650.0
3035,2025-08-04,a107,Anarkali Suit,Ethnic,1.0,6800.0,6800.0,Surat,Gujarat,Offline,36,,Card,No,SheStyle,Unknown,6800.0
3036,2025-08-04,a108,Skirt,Western,2.0,1600.0,3200.0,Jaipur,Rajasthan,Online,20,,UPI,Yes,SheStyle,Unknown,3200.0
3037,2025-09-04,a101,Kurti,Casual,3.0,1300.0,3900.0,Jodhpur,Rajasthan,Offline,30,,Cash,No,SheStyle,Unknown,3900.0
3039,2025-10-04,a104,Top,Western,2.0,950.0,1900.0,Rajkot,Gujarat,Online,25,,UPI,No,SheStyle,Unknown,1900.0
4000,2025-10-04,a105,Jeans,Western,1.0,1900.0,1900.0,Ahmedabad,Gujarat,Offline,29,,Cash,No,SheStyle,Unknown,1900.0
3041,2025-06-04,a104,Top,Western,2.0,950.0,1900.0,Kota,Rajasthan,Online,23,,UPI,No,SheStyle,Unknown,1900.0
3042,2025-06-04,a105,Jeans,Western,1.0,1900.0,1900.0,Vadodara,Gujarat,Offline,28,,Card,No,SheStyle,Unknown,1900.0
3043,2025-07-04,a103,Lehenga,Ethnic,1.0,9200.0,9200.0,Udaipur,Rajasthan,Offline,33,,Cash,No,SheStyle,Unknown,9200.0
3044,2025-07-04,a106,Leggings,Casual,1.0,650.0,,Ahmedabad,Gujarat,Online,26,,UPI,No,SheStyle,Unknown,650.0
3045,2025-08-04,a107,Anarkali Suit,Ethnic,1.0,6800.0,6800.0,Surat,Gujarat,Offline,36,,Card,No,SheStyle,Unknown,6800.0
3046,2025-08-04,a108,Skirt,Western,2.0,1600.0,3200.0,Jaipur,Rajasthan,Online,20,,UPI,Yes,SheStyle,Unknown,3200.0
3047,2025-09-04,a101,Kurti,Casual,3.0,1300.0,3900.0,Jodhpur,Rajasthan,Offline,30,,Cash,No,SheStyle,Unknown,3900.0
