product_id,order_id,order_date,product_name,category,quantity,unit_price,bill_value,city,state,sales_channel,customer_age,discount_pct,payment_mode,return_flag,brand_name,total_amount
IT10000,5000,2025-10-18,Skirt,Western,1,2925.0,2925.0,Bhavnagar,Gujarat,Online,28,5,Card,Yes,SheStyle,2925.0
IT10004,5004,2025-10-25,Lehenga,Ethnic,2,9274.0,18548.0,Vadodara,Gujarat,Offline,21,10,Cash,Yes,SheStyle,18548.0
IT10006,5006,2025-09-26,Jeans,Western,2,2924.0,5848.0,Bhavnagar,Gujarat,Online,20,5,Unknown,Yes,SheStyle,5848.0
IT10009,5009,2025-11-29,Saree,Ethnic,3,8184.0,24552.0,Rajkot,Gujarat,Online,23,15,Unknown,Yes,SheStyle,24552.0
IT10010,5010,2025-07-28,Lehenga,Ethnic,4,7155.0,28620.0,Rajkot,Gujarat,Offline,22,10,Unknown,Yes,SheStyle,28620.0
IT10014,5014,2025-04-19,Leggings,Casual,2,967.0,1934.0,Rajkot,Tamil Nadu,Unknown,27,0,UPI,No,SheStyle,1934.0
IT10018,5018,2025-12-09,Saree,Ethnic,1,9576.0,9576.0,Ahmedabad,Tamil Nadu,Unknown,44,15,Cash,Yes,SheStyle,9576.0
IT10019,5019,2025-02-12,Anarkali Suit,Ethnic,4,7009.0,28036.0,Ahmedabad,Tamil Nadu,Unknown,26,15,UPI,Yes,SheStyle,28036.0
IT10022,5022,2025-04-12,Jeans,Western,4,2239.0,8956.0,Surat,Tamil Nadu,Unknown,44,20,Card,Yes,SheStyle,8956.0
IT10024,5024,2025-06-05,Jeans,Western,1,2670.0,2670.0,Bhavnagar,Tamil Nadu,Unknown,26,20,UPI,Yes,SheStyle,2670.0
IT10026,5026,2025-01-08,Lehenga,Ethnic,3,3173.0,9519.0,Rajkot,Tamil Nadu,Unknown,39,15,UPI,Yes,SheStyle,9519.0
IT10029,5029,2025-01-20,Anarkali Suit,Ethnic,5,6353.0,31765.0,Rajkot,Tamil Nadu,Offline,45,5,Card,No,SheStyle,31765.0
IT10030,5030,2025-03-08,Leggings,Casual,3,1394.0,4182.0,Bhavnagar,Tamil Nadu,Offline,44,5,UPI,Yes,SheStyle,4182.0
IT10032,5032,2025-01-25,Skirt,Western,5,2244.0,11220.0,Rajkot,Tamil Nadu,Offline,27,15,Card,Yes,SheStyle,11220.0
IT10035,5035,2025-03-29,Top,Western,5,1435.0,7175.0,Rajkot,Tamil Nadu,Offline,23,0,Card,No,SheStyle,7175.0
IT10037,5037,2025-07-16,Lehenga,Ethnic,3,4486.0,13458.0,Surat,Tamil Nadu,Online,31,5,Card,No,SheStyle,13458.0
IT10038,5038,2025-07-27,Anarkali Suit,Ethnic,3,7486.0,22458.0,Surat,Tamil Nadu,Offline,31,5,Cash,Yes,SheStyle,22458.0
IT10042,5042,2025-10-13,Jeans,Western,2,2742.0,5484.0,Rajkot,Tamil Nadu,Online,22,10,UPI,No,SheStyle,5484.0
IT10045,5045,2025-10-18,Lehenga,Ethnic,3,3414.0,10242.0,Ahmedabad,Tamil Nadu,Online,41,5,Cash,Yes,SheStyle,10242.0
IT10047,5047,2025-02-07,Saree,Ethnic,1,5736.0,5736.0,Vadodara,Tamil Nadu,Offline,20,15,UPI,No,SheStyle,5736.0
IT10049,5049,2025-06-30,Skirt,Western,1,1969.0,1969.0,Bhavnagar,Tamil Nadu,Offline,40,15,UPI,Yes,SheStyle,1969.0
IT10051,5051,2025-08-25,Skirt,Western,5,1524.0,7620.0,Surat,Tamil Nadu,Offline,32,5,UPI,Yes,SheStyle,7620.0
IT10054,5054,2025-04-26,Kurti,Ethnic,3,648.0,1944.0,Vadodara,Tamil Nadu,Offline,21,10,UPI,No,SheStyle,1944.0
IT10055,5055,2025-03-09,Jeans,Western,1,2082.0,2082.0,Surat,Tamil Nadu,Online,43,10,Cash,Yes,SheStyle,2082.0
IT10058,5058,2025-03-15,Kurti,Ethnic,4,1624.0,6496.0,Bhavnagar,Tamil Nadu,Online,22,20,Card,No,SheStyle,6496.0
IT10059,5059,2025-03-21,Anarkali Suit,Ethnic,5,8602.0,43010.0,Surat,Tamil Nadu,Offline,45,0,Cash,Yes,SheStyle,43010.0
IT10061,5061,2025-06-28,Leggings,Casual,2,1707.0,3414.0,Rajkot,Tamil Nadu,Offline,36,0,UPI,No,SheStyle,3414.0
IT10063,5063,2025-03-14,Anarkali Suit,Ethnic,3,5327.0,15981.0,Vadodara,Tamil Nadu,Online,18,10,UPI,Yes,SheStyle,15981.0
